rank,repository,stars,forks,dependency_status,dependency_count
1,k1tbyte/Wand-Enhancer,24144,61118,available,501
2,dotnet/AspNetCore.Docs,13135,24607,available,910
3,dockersamples/example-voting-app,5796,16195,available,102
4,shadowsocks/shadowsocks-windows,59567,16187,available,60
5,2dust/v2rayN,115289,15826,available,34
6,dotnet/aspnetcore,38416,10953,available,1454
7,dotnet-architecture/eShopOnContainers,24322,10074,available,0
8,PowerShell/PowerShell,55245,8443,available,90
9,digitalinnovationone/trilha-net-fundamentos-desafio,405,7525,available,0
10,xamarin/xamarin-forms-samples,4247,7104,available,85
11,nopSolutions/nopCommerce,10139,6024,available,606
12,dotnet-architecture/eShopOnWeb,10689,6022,available,0
13,microsoft/calculator,31027,5785,available,22
14,space-wizards/space-station-14,3767,5660,available,49
15,dnSpy/dnSpy,29693,5630,available,16
16,dotnet/runtime,18246,5571,available,738
17,digitalinnovationone/trilha-net-poo-desafio,124,5396,available,0
18,jellyfin/jellyfin,56485,5395,available,101
19,QuantConnect/Lean,21462,5212,available,34
20,Azure/azure-sdk-for-net,6047,5189,available,2530
21,dotnet/samples,3739,5146,available,246
22,MicrosoftDocs/mslearn-tailspin-spacegame-web-models,41,5082,available,0
23,microsoft/semantic-kernel,28526,4753,available,2119
24,digitalinnovationone/trilha-net-explorando-desafio,94,4557,available,0
25,Unity-Technologies/ml-agents,19655,4485,available,38
26,JeffreySu/WeiXinMPSDK,8890,4342,available,771
27,dotnet/roslyn,20640,4308,available,353
28,jasontaylordev/CleanArchitecture,20523,4276,unavailable:FetchError,0
29,Azure/azure-powershell,4777,4248,available,574
30,shadowsocksr-rm/shadowsocksr-csharp,908,4191,available,0
31,huiyadanli/RevokeMsgPatcher,38660,4063,available,4
32,dotnet/android-samples,2212,3922,available,2
33,ShareX/ShareX,39427,3910,available,26
34,gitter-badger/IdentityServer4,6,3869,unavailable:FetchError,0
35,aspnetboilerplate/aspnetboilerplate,12002,3817,available,167
36,dotnet/eShop,10830,3812,available,88
37,MicrosoftLearning/eShopOnWeb,243,3807,available,60
38,mono/mono,11465,3803,available,3
39,abpframework/abp,14420,3717,available,5937
40,icsharpcode/ILSpy,26000,3698,available,86
41,DapperLib/Dapper,18375,3666,available,43
42,MaterialDesignInXAML/MaterialDesignInXamlToolkit,16249,3496,available,37
43,microsoft/TailwindTraders-Backend,198,3487,unavailable:FetchError,0
44,dotnet/efcore,14786,3409,available,63
45,peass-ng/PEASS-ng,20420,3394,available,84
46,R-Vaccari/bannerlord-banner-kings,102,3349,available,10
47,JamesNK/Newtonsoft.Json,11317,3296,available,16
48,microsoft/WPF-Samples,5733,3277,available,10
49,egametang/ET,9906,3236,available,165
50,pnp/PnP,1920,3204,available,731
51,digitalinnovationone/trilha-net-api-desafio,91,3163,available,3
52,MonoGame/MonoGame,14381,3106,available,71
53,ardalis/CleanArchitecture,18445,3075,available,111
54,OpenRA/OpenRA,17321,3029,available,24
55,Perfare/AssetStudio,15597,2957,available,13
56,thangchung/awesome-dotnet-core,21371,2951,available,0
57,cefsharp/CefSharp,10254,2923,available,32
58,umbraco/Umbraco-CMS,5239,2913,available,1707
59,git-ecosystem/git-credential-manager,9245,2905,available,149
60,ArduPilot/MissionPlanner,2362,2867,available,204
61,xamarin/mobile-samples,1443,2859,available,60
62,files-community/Files,44864,2856,available,64
63,digitalinnovationone/trilha-net-testes-unitarios-desafio,67,2841,available,4
64,netchx/netch,17694,2838,available,37
65,de4dot/de4dot,7435,2808,available,4
66,AvaloniaUI/Avalonia,31438,2803,available,103
67,ppy/osu,18973,2800,available,53
68,dvf/blockchain,8042,2790,available,316
69,quasar/Quasar,9909,2655,available,13
70,OrchardCMS/OrchardCore,8171,2586,available,2690
71,Unity-Technologies/UnityCsReference,12975,2557,available,8
72,anshulc55/Jenkins_Upgradev3,159,2523,available,19
73,MahApps/MahApps.Metro,9824,2419,available,23
74,LuckyPennySoftware/AutoMapper,10190,2401,available,25
75,jfrog/project-examples,1036,2394,available,111
76,NickeManarin/ScreenToGif,27588,2353,available,16
77,restsharp/RestSharp,9825,2304,available,34
78,nilaoda/N_m3u8DL-CLI,16075,2283,available,11
79,StockSharp/StockSharp,10686,2260,available,40
80,SignalR/SignalR,9401,2246,available,385
81,fencer-so/CommBank-Server,22,2258,available,9
82,shiftwinting/FastGithub,495,2210,available,5
83,gitextensions/gitextensions,8546,2206,available,47
84,kgrzybek/modular-monolith-with-ddd,13996,2189,available,7
85,LuckyPennySoftware/MediatR,11857,2182,available,42
86,TGSAN/CMWTAT_Digital_Edition,19403,2176,available,6
87,laochiangx/Common.Utility,5306,2165,available,7
88,tModLoader/tModLoader,5615,2160,available,56
89,microsoft/Generative-AI-for-beginners-dotnet,3042,2148,available,129
90,dotnet/orleans,10856,2132,available,1281
91,renz45/CSharp-GradeBookApplication,2,2107,unavailable:FetchError,0
92,XINCGer/Unity3DTraining,9125,2110,available,5
93,aspnet/Mvc,5566,2086,available,55
94,microsoft/MixedRealityToolkit-Unity,6076,2084,available,8
95,UnityTechnologies/open-project-1,6091,2066,unavailable:FetchError,0
96,Tyrrrz/YoutubeDownloader,16079,2045,available,30
97,iOfficeAI/OfficeCLI,29762,2027,unavailable:FetchError,0
98,btcpayserver/btcpayserver,7741,2016,available,57
99,MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,2522,2010,available,0
100,fullstackhero/dotnet-starter-kit,6755,1998,available,1094
